time_iso8601,forks_cumulative
2021-11-21 00:00:00+00:00,1
2022-01-10 00:00:00+00:00,2
2022-02-07 00:00:00+00:00,3
2022-02-22 00:00:00+00:00,4
2022-04-07 00:00:00+00:00,5
2022-04-20 00:00:00+00:00,6
2022-04-28 00:00:00+00:00,8
2022-05-16 00:00:00+00:00,9
2022-05-31 00:00:00+00:00,10
2022-06-21 00:00:00+00:00,11
2022-06-27 00:00:00+00:00,12
2022-08-02 00:00:00+00:00,13
2022-08-22 00:00:00+00:00,14
2022-08-27 00:00:00+00:00,15
2022-08-31 00:00:00+00:00,16
2022-10-26 00:00:00+00:00,17
2022-11-03 00:00:00+00:00,18
2022-11-04 00:00:00+00:00,19
2022-11-29 00:00:00+00:00,20
2022-12-14 00:00:00+00:00,22
2023-01-31 00:00:00+00:00,23
2023-02-16 00:00:00+00:00,24
2023-02-22 00:00:00+00:00,25
2023-02-23 00:00:00+00:00,26
2023-02-27 00:00:00+00:00,27
2023-03-02 00:00:00+00:00,28
2023-03-06 00:00:00+00:00,30
2023-03-08 00:00:00+00:00,31
2023-04-06 00:00:00+00:00,32
2023-04-13 00:00:00+00:00,33
2023-04-14 00:00:00+00:00,34
2023-04-15 00:00:00+00:00,35
2023-04-19 00:00:00+00:00,36
2023-04-23 00:00:00+00:00,38
2023-05-23 00:00:00+00:00,39
2023-05-29 00:00:00+00:00,40
2023-06-01 00:00:00+00:00,41
2023-06-05 00:00:00+00:00,42
2023-06-08 00:00:00+00:00,43
2023-06-10 00:00:00+00:00,44
2023-06-12 00:00:00+00:00,45
2023-06-15 00:00:00+00:00,46
2023-06-16 00:00:00+00:00,47
2023-06-25 00:00:00+00:00,48
2023-06-28 00:00:00+00:00,49
2023-08-18 00:00:00+00:00,50
2023-08-27 00:00:00+00:00,51
2023-08-28 00:00:00+00:00,52
2023-09-01 00:00:00+00:00,53
2023-10-08 00:00:00+00:00,54
2023-10-25 00:00:00+00:00,55
2023-10-27 00:00:00+00:00,56
2023-11-01 00:00:00+00:00,57
2023-11-13 00:00:00+00:00,59
2023-12-05 00:00:00+00:00,60
2023-12-12 00:00:00+00:00,62
2023-12-21 00:00:00+00:00,63
2024-01-02 00:00:00+00:00,64
2024-01-10 00:00:00+00:00,66
2024-01-19 00:00:00+00:00,67
2024-01-22 00:00:00+00:00,68
2024-02-04 00:00:00+00:00,69
2024-02-21 00:00:00+00:00,70
2024-02-22 00:00:00+00:00,73
2024-02-23 00:00:00+00:00,74
